Group;Kingdom;Phylum;Class;Order;Family;Genus;Species;scientificName_used_in_dataset;scientificName_harmonized;taxonRank_of_scientificName;Reference_taxonRank_WoRMS;Reference_taxonRank_NCBI;Reference_taxonRank_GTDB;Status_of_name_worms;environment_worms;Date_of_access_WORMS_or_NCBI;metabolism;In_symbiosis_or_freeliving_reference;Singular_or_colony_forming_reference;Synonyms_if_available;Notes
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;NA;Calothrix;Calothrix;GENUS;PRESENT;PRESENT;not_found;accepted;marine_fresh_terrestrial;15.04.20;Photoautotroph;In_symbiosis_with_Chaetoceros_(Luo_et_al_2012)_yet_some_cells_are_free_living_(Forster_et_al_2011);NA;Dillwynella bory, Rivulariopsis, Vitrinella;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Richelia;NA;Richelia;Richelia;GENUS;PRESENT;PRESENT;not_found;accepted;marine ;15.04.20;Photoautotroph;In_symbiosis_with_Hemiaulus_and_Rhizosolenia_(Luo_et_al_2012)_yet_some_cells_are_free_living_(Foster_et_al_2011);NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Richelia;Richelia intracellularis;Richelia intracellularis;Richelia intracellularis;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;15.04.20;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Phormidiaceae;Trichodesmium;Trichodesmium ehrenbergii;Trichodesmium ehrenbergii Montagne;Trichodesmium hildebrandtii;SPECIES;PRESENT;PRESENT;not_found;uncertain;marine;18.11.22;Photoautotroph;NA;Colony_forming_or_single_filaments;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;NA;Trichodesmium;Trichodesmium;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh_terrestrial;15.04.20;Photoautotroph;NA;Colony_forming_or_single_filaments;Trichodesmium thiebautii;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;NA;NA;NA;Heterocyst.Richelia.Calothris;Heterocyst_Richelia_Calothrix;GENUS;NA;NA;NA;NA;NA;NA;Photoautotroph;In_symbiosis_with_Hemiaulus_and_Rhizosolenia_(Luo_et_al_2012)_yet_some_cells_are_free_living_(Foster_et_al_2011);NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanobacteria incertae sedis;NA;NA;Skujaella;Skujaella thiebautii;Skujaella thiebautii (Gomont ex Gomont) J.de Toni, 1939;Trichodesmium thiebautii;SPECIES;PRESENT;PRESENT;not_found;unaccepted;marine;18.11.22;Photoautotroph;NA;Colony_forming_or_single_filaments;Trichodesmium thiebautii;
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium contortum;Trichodesmium contortum;Trichodesmium contortum;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;20.05.20;Photoautotroph;NA;NA;Xanthotrichum contortum ;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium erythraeum;Trichodesmium erythraeum;Trichodesmium erythraeum;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;20.05.20;Photoautotroph;NA;NA;Oscillaria erythraea, Oscillatoria erythraea, Skujaella erythraea, Trichodesmium hindsii;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium lacustre;Trichodesmium lacustre;Trichodesmium lacustre;SPECIES;PRESENT;not_found;not_found;accepted;marine_brackish_fresh_terrestrial;20.05.20;Photoautotroph;NA;NA;Oscillatoria lacustris, Skujaella lacustris;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium thiebautii;Trichodesmium thiebautii;Trichodesmium thiebautii;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;20.05.20;Photoautotroph;NA;NA;Skujaella thiebautii;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;Atelocyanobacterium;Atelocyanobacterium;GENUS;not_found;PRESENT;not_found;not_found;not_found;23.02.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;NA;NA;NA;NA;UCYN;UCYN;SPECIES_CLUSTER;NA;NA;NA;NA;not_found;15.04.20;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A;UCYN.A;SPECIES;not_found;PRESENT;not_found;not_found;not_found;21.11.22;Photoautotroph;In_symbiosis_with_Braruudosphaera_bigelowii_a_Prymnesiophyceae_(Hagino_et_al_2013)_or_attached_to_larger_unidentified_eukaryotic_cells_(Krupke_et_al_2013)_and_some_cells_are_free_living_(Krupke_et_al_2013);singular;UCYN group A/cyanobacterium UCYN-A/unicellular N2-fixing cyanobacteria group A;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A1;UCYN.A1;ECOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Photoautotroph;In_symbiosis_with_oceanic_Braruudosphaera_bigelowii_and_some_individuals_free_living_(Cabello_2016);singular;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A2;UCYN.A2;ECOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Photoautotroph;In_symbiosis_with_coastal_Braruudosphaera_bigelowii_and_some_individuals_free_living_(Cabello_2016);singular;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A2.A3;UCYN.A2.A3;ECOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Photoautotroph;In_symbiosis_with_coastal_Braruudosphaera_bigelowii_and_some_individuals_free_living_(Cabello_2016);singular;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanobacteriaceae;Crocosphaera;Crocosphaera watsonii;UCYN.B;UCYN.B;SPECIES;PRESENT;not_found;not_found;unaccepted;not_found;15.04.20;Photoautotroph;NA;NA;UCYN group B;Including_Crocosphaera_watsonii_(which_is_cultivable)_and_closely_related_species_which_are_genetically_very_similar_but_phenotypes_differ_quite_a_bit_Crocosphaera_watsonii_is_accepted_as_Cyanobium_waterburyi_WORMS
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanobacteriaceae;Crocosphaera;Crocosphaera watsonii;Crocosphaera watsonii;UCYN.B;SPECIES;PRESENT;not_found;not_found;unaccepted;not_found;15.04.20;Photoautotroph;NA;NA;UCYN group B;Including_Crocosphaera_watsonii_(which_is_cultivable)_and_closely_related_species_which_are_genetically_very_similar_but_phenotypes_differ_quite_a_bit_Crocosphaera_watsonii_is_accepted_as_Cyanobium_waterburyi_WORMS
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Cyanothecaceae;Cyanothece;NA;Cyanothece;Cyanothece;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh_terrestrial;15.04.20;Photoautotroph;NA;NA;UCYN group C;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Cyanothecaceae;Cyanothece;UCYN.C;UCYN.C;UCYN.C;SPECIES;not_found;not_found;not_found;accepted;not_found;15.04.20;Photoautotroph;NA;NA;UCYN group C;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Nodularia;NA;Nodularia;Nodularia;GENUS;PRESENT ;PRESENT;not_found;accepted;marine_fresh_terrestrial;10.03.22;NA;In_symbiosis;NA;NA;Not_sure_in_symbiosis_with_who
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma;Gamma;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma.A;Gamma.A;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma_1;Gamma_1;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;23.02.22;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma_4;Gamma_4;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;23.02.22;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma_2;Gamma_2;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;30.06.22;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma_3;Gamma_3;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;30.06.22;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;Gamma.P;Gamma.P;PHYLOTYPE;not_found;not_found;not_found;not_found;not_found;23.02.22;Assumed_heterotroph;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter;NA;Azotobacter;Azotobacter;GENUS;PRESENT;PRESENT;not_found;accepted;NA;09.06.20;NA;NA;NA;Azotomonas;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter;Azotobacter salinestris;Azotobacter salinestris;Azotobacter salinestris;SPECIES;not_found;PRESENT;not_found;accepted;not_found;09.06.20;NA;NA;NA;NA;NA
NCD;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter;Azotobacter armeniacus;Azotobacter armeniacus;Azotobacter armeniacus;SPECIES;not_found;PRESENT;not_found;accepted;not_found;09.06.20;NA;NA;NA;NA;NA
NCD;NA;NA;NA;NA;NA;NA;NA;CIII;CIII;GENE_CLUSTER;NA;NA;NA;not_found;not_found;23.02.22;Assumed_heterotroph;NA;NA;NA;There are up to four gene clusters of the nifH gene. CIII represents squences matching to the third cluster. This cluster information holds no taxonomic information. The CIII cluster might contain anaerobs.
Diatom-host;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;NA;Chaetoceros;Chaetoceros;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh;09.06.20;NA;host;NA;NA;NA
Diatom-host;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;Rhizosolenia;Rhizosolenia;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh;09.06.20;NA;host;NA;NA;NA
Diatom-host;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Climacodium;NA;Climacodium;Climacodium;GENUS;PRESENT;PRESENT;not_found;accepted;marine ;23.02.22;NA;NA;NA;NA;NA
Diatom-host;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Hemiaulus;NA;Hemiaulus;Hemiaulus;GENUS;PRESENT;PRESENT;not_found;accepted;marine ;23.02.22;NA;NA;NA;NA;NA
NCD;Bacteria ;Proteobacteria;NA;NA;NA;NA;NA;Proteobacteria;Proteobacteria;PHYLUM;PRESENT;PRESENT;PRESENT;accepted;NA;30.06.22;Assumed_heterotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix adscendens;Calothrix adscendens (Naeg.) Born. & Flah.;Calothrix adscendens ;SPECIES;PRESENT ;not_found;not_found;accepted;fresh;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Richelia;Richelia intracellularis;Richelia intracellularis B;Richelia intracellularis;SPECIES;PRESENT;PRESENT;not_found;accepted;marine ;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium erythraeum;Trichodesmium erythraeum Ehrenb. ex Gomont;Trichodesmium erythraeum;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium lacustre;Trichodesmium lacustre Kleb.;Trichodesmium lacustre;SPECIES;PRESENT;not_found;not_found;accepted;marine_brackish_fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;Oscillatoria lacustris;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Oscilliatoriaceae;Oscillatoria;Oscillatoria lacustris;Oscillatoria lacustris (Klebahn) Geitler;Trichodesmium lacustre;SPECIES;PRESENT;not_found;not_found;unaccepted;marine_brackish_fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;Trichodesmium lacustre;Identified_as_Trichodesmium_lacustre
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium thiebautii;Trichodesmium thiebautii Gomont ex Gomont;Trichodesmium thiebautii;SPECIES;PRESENT;PRESENT;not_found;accepted;marine ;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix solitaria;Calothrix solitaria;not_used;SPECIES;PRESENT;not_found;not_found;uncertain;NA; 18.11.2022;NA;NA;NA;NA;worms_uncertain _taxonomic_status_subjected_to_verification
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix caespitosa;Calothrix caespitora Kuetzing;not_used;SPECIES;PRESENT;not_found;not_found;unaccepted;fresh;18.01.00;Photoautotroph;NA;NA;NA;worms_accepted_name_Homoehtrix_caespitosa_but_no_publication_found_on_scholar
Cyano;NA;NA;NA;NA;NA;Schizosiphon;Schizosiphon parietinus;Schizosiphon parietinus Nägeli;Calothrix parietina;NA;NA;not_found;not_found;NA;NA;NA;NA;NA;NA;NA;According_to_algaebase_this_is_a_synonym_for_Calothrix_parietina
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Leptolyngbyaceae;Leibleinia;Leibleinia aeruginea;Leibleinia aeruginea Kütz.;Calothrix aeruginosa;SPECIES;PRESENT;not_found;not_found;unaccepted;marine;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Oscilliatoriaceae;Lyngbya;Lyngbya confervicola;Lyngbya confervicola (Dillwyn) Rabenh.;Calothrix confervicola;SPECIES;PRESENT;not_found;not_found;unaccepted;marine;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix tilden;Calothrix scytonemicola Tilden;Calothrix scytonemicola;SPECIES;PRESENT ;PRESENT;not_found;accepted;fresh;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix confervicola;Calothrix confervicola J.Agardh;Calothrix confervicola;SPECIES;PRESENT ;PRESENT;not_found;accepted;marine;18.11.22;Photoautotroph;NA;NA;Lyngbya confervicola;Not_exact_match_when_searched_in_worms_but_close
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calotrhix weberi;Calothrix weberi Schmidle, 1899;Calothrix weberi;SPECIES;PRESENT ;PRESENT;not_found;accepted;fresh ;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix crustacea;Calothrix crustacea var. Crassa;Calothrix crustacea;SPECIES;not_found;not_found;not_found;not_found;NA;21.11.22;NA;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix elsteri;Calothrix elsteri;Calothrix elsteri;SPECIES;PRESENT ;PRESENT;not_found;accepted;fresh;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix desertica;Calothrix desertica;Calothrix desertica;SPECIES;PRESENT ;PRESENT;not_found;accepted;fresh;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;NA;Calothrix C.Agardh ex Bornet & Flahault, 1886;Calothrix;GENUS;PRESENT ;PRESENT;not_found;accepted;marine_fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix parasitica;Calothrix parasitica;Calothrix parasitica;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix longifila;Calothrix longifila;Calothrix longifila;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix rosea;Calothrix rosea;Calothrix rosea;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;18.11.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;Calothrix braunii;Calothrix braunii Bornet & Flahault;Calothrix braunii;SPECIES;PRESENT;PRESENT;not_found;accepted;fresh_terrestrial;06.07.22;Photoautotroph;NA;NA;NA;NA
